inventory_item_id,location_id,location_name,available,updated_at,admin_graphql_api_id
"=""41676287279259""","=""48176791707""",Manor Way,0,2024-12-04T11:22:30+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676287279259
"=""41676287312027""","=""48176791707""",Manor Way,0,2024-08-23T22:15:01+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676287312027
"=""41676287541403""","=""48176791707""",Manor Way,24,2025-09-29T12:08:02+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676287541403
"=""41676287574171""","=""48176791707""",Manor Way,0,2023-12-11T10:41:30+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676287574171
"=""41676287606939""","=""48176791707""",Manor Way,0,2025-07-29T17:22:13+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676287606939
"=""41676287639707""","=""48176791707""",Manor Way,4,2024-11-19T11:10:06+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676287639707
"=""41676288000155""","=""48176791707""",Manor Way,0,2024-10-28T16:23:06+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676288000155
"=""41676288032923""","=""48176791707""",Manor Way,46,2025-09-10T11:00:25+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676288032923
"=""41676288065691""","=""48176791707""",Manor Way,180,2025-10-20T11:45:15+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676288065691
"=""41676288098459""","=""48176791707""",Manor Way,17,2025-10-20T11:45:16+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676288098459
"=""41676288131227""","=""48176791707""",Manor Way,16,2025-10-20T11:45:16+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676288131227
"=""41676288229531""","=""48176791707""",Manor Way,0,2024-05-20T09:17:53+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676288229531
"=""41676288262299""","=""48176791707""",Manor Way,0,2025-10-20T11:48:36+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676288262299
"=""41676288295067""","=""48176791707""",Manor Way,6,2025-10-29T13:02:22+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676288295067
"=""41676288327835""","=""48176791707""",Manor Way,36,2025-10-29T11:22:22+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676288327835
"=""41676288589979""","=""48176791707""",Manor Way,24,2025-10-29T14:42:30+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676288589979
"=""41676289081499""","=""48176791707""",Manor Way,0,2025-09-10T11:32:50+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676289081499
"=""41676289114267""","=""48176791707""",Manor Way,0,2024-08-09T11:21:41+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676289114267
"=""41676289147035""","=""48176791707""",Manor Way,0,2024-08-19T12:03:42+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676289147035
"=""41676289179803""","=""48176791707""",Manor Way,0,2021-09-07T12:16:55+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676289179803
"=""41676289212571""","=""48176791707""",Manor Way,0,2024-08-09T11:21:41+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676289212571
"=""41676289409179""","=""48176791707""",Manor Way,57,2024-11-27T14:42:56+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676289409179
"=""41676289441947""","=""48176791707""",Manor Way,70,2025-10-13T15:42:11+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676289441947
"=""41676289474715""","=""48176791707""",Manor Way,17,2025-08-08T09:02:26+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676289474715
"=""41676289507483""","=""48176791707""",Manor Way,31,2025-07-24T10:17:05+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676289507483
"=""41676289605787""","=""48176791707""",Manor Way,0,2024-08-22T10:55:51+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676289605787
"=""41676291211419""","=""48176791707""",Manor Way,0,2022-05-05T11:21:45+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676291211419
"=""41676291244187""","=""48176791707""",Manor Way,0,2022-05-01T12:53:05+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676291244187
"=""41676291276955""","=""48176791707""",Manor Way,0,2021-09-28T19:12:17+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676291276955
"=""41676291309723""","=""48176791707""",Manor Way,0,2021-09-07T12:17:44+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676291309723
"=""41676291342491""","=""48176791707""",Manor Way,0,2022-01-30T13:50:02+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676291342491
"=""41676291539099""","=""48176791707""",Manor Way,0,2025-10-27T15:28:26+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676291539099
"=""41676291604635""","=""48176791707""",Manor Way,0,2024-08-19T12:03:41+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676291604635
"=""41676291637403""","=""48176791707""",Manor Way,0,2024-08-12T09:41:53+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676291637403
"=""41676291670171""","=""48176791707""",Manor Way,0,2021-09-07T12:17:07+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676291670171
"=""41676291735707""","=""48176791707""",Manor Way,0,2024-08-12T09:41:52+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676291735707
"=""41676291768475""","=""48176791707""",Manor Way,0,2022-10-24T14:02:56+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676291768475
"=""41676291801243""","=""48176791707""",Manor Way,0,2022-09-27T09:20:11+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676291801243
"=""41676291834011""","=""48176791707""",Manor Way,0,2021-09-07T12:17:11+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676291834011
"=""41676291866779""","=""48176791707""",Manor Way,0,2021-09-07T12:17:15+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676291866779
"=""41676291997851""","=""48176791707""",Manor Way,114,2025-10-22T17:23:57+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676291997851
"=""41676292358299""","=""48176791707""",Manor Way,49,2025-09-23T15:27:30+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676292358299
"=""41676292391067""","=""48176791707""",Manor Way,17,2025-09-23T15:27:32+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676292391067
"=""41676292423835""","=""48176791707""",Manor Way,0,2023-06-30T10:45:20+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676292423835
"=""41676292456603""","=""48176791707""",Manor Way,175,2025-03-12T16:52:10+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676292456603
"=""41676292489371""","=""48176791707""",Manor Way,0,2025-09-24T09:05:30+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676292489371
"=""41676292522139""","=""48176791707""",Manor Way,75,2025-06-26T17:24:30+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676292522139
"=""41676292784283""","=""48176791707""",Manor Way,0,2023-02-09T12:22:12+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676292784283
"=""41676292817051""","=""48176791707""",Manor Way,335,2025-10-19T19:20:50+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676292817051
"=""41676292849819""","=""48176791707""",Manor Way,0,2025-09-09T12:24:17+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676292849819
"=""41676293570715""","=""48176791707""",Manor Way,0,2022-10-19T09:02:03+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676293570715
"=""41676293603483""","=""48176791707""",Manor Way,0,2021-09-28T19:18:50+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676293603483
"=""41676293636251""","=""48176791707""",Manor Way,0,2022-09-26T14:33:06+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676293636251
"=""41676293669019""","=""48176791707""",Manor Way,0,2022-11-15T09:40:31+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676293669019
"=""41676293701787""","=""48176791707""",Manor Way,0,2022-12-06T10:53:18+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676293701787
"=""41676294127771""","=""48176791707""",Manor Way,0,2022-10-19T09:02:06+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676294127771
"=""41676294160539""","=""48176791707""",Manor Way,0,2022-08-08T09:02:25+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676294160539
"=""41676294193307""","=""48176791707""",Manor Way,0,2022-10-17T14:02:04+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676294193307
"=""41676294226075""","=""48176791707""",Manor Way,0,2021-09-07T12:31:04+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676294226075
"=""41676294258843""","=""48176791707""",Manor Way,0,2022-03-21T15:42:20+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676294258843
"=""41676294291611""","=""48176791707""",Manor Way,24,2025-11-02T17:15:30+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676294291611
"=""41676294324379""","=""48176791707""",Manor Way,26,2025-11-02T17:15:31+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676294324379
"=""41676294389915""","=""48176791707""",Manor Way,0,2025-10-07T12:22:45+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676294389915
"=""41676294422683""","=""48176791707""",Manor Way,65,2025-11-02T17:15:31+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676294422683
"=""41676294815899""","=""48176791707""",Manor Way,0,2022-06-24T15:43:00+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676294815899
"=""41676294848667""","=""48176791707""",Manor Way,0,2024-07-26T11:21:58+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676294848667
"=""41676295176347""","=""48176791707""",Manor Way,69,2025-10-20T11:45:15+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676295176347
"=""41676295209115""","=""48176791707""",Manor Way,5,2025-11-02T17:15:30+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676295209115
"=""41676295307419""","=""48176791707""",Manor Way,202,2025-11-02T17:15:31+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676295307419
"=""41676295340187""","=""48176791707""",Manor Way,79,2025-11-02T17:15:31+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676295340187
"=""41676295471259""","=""48176791707""",Manor Way,0,2023-09-29T11:08:36+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676295471259
"=""41676295504027""","=""48176791707""",Manor Way,0,2021-10-18T10:08:26+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676295504027
"=""41676295635099""","=""48176791707""",Manor Way,1,2022-11-16T12:22:20+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676295635099
"=""41676295667867""","=""48176791707""",Manor Way,0,2021-12-15T11:02:56+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676295667867
"=""41676295700635""","=""48176791707""",Manor Way,0,2021-09-28T19:18:02+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676295700635
"=""41676295798939""","=""48176791707""",Manor Way,0,2021-09-07T12:29:22+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676295798939
"=""41676295831707""","=""48176791707""",Manor Way,0,2021-09-28T19:17:55+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676295831707
"=""41676295864475""","=""48176791707""",Manor Way,0,2021-09-07T12:29:20+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676295864475
"=""41676295995547""","=""48176791707""",Manor Way,0,2023-01-31T13:56:31+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676295995547
"=""41676296028315""","=""48176791707""",Manor Way,0,2022-03-21T14:15:11+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676296028315
"=""41676296061083""","=""48176791707""",Manor Way,40,2024-10-28T12:52:40+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676296061083
"=""41676296126619""","=""48176791707""",Manor Way,0,2022-07-29T17:26:10+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676296126619
"=""41676296159387""","=""48176791707""",Manor Way,0,2022-02-07T11:03:01+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676296159387
"=""41676296192155""","=""48176791707""",Manor Way,0,2023-05-17T14:02:11+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676296192155
"=""41676296355995""","=""48176791707""",Manor Way,0,2023-01-05T09:01:55+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676296355995
"=""41676296388763""","=""48176791707""",Manor Way,52,2025-10-02T12:15:31+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676296388763
"=""41676296421531""","=""48176791707""",Manor Way,140,2025-08-20T15:43:10+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676296421531
"=""41676296781979""","=""48176791707""",Manor Way,0,2024-01-16T11:21:41+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676296781979
"=""41676296814747""","=""48176791707""",Manor Way,0,2024-08-14T17:07:27+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676296814747
"=""41676296847515""","=""48176791707""",Manor Way,94,2025-10-20T11:48:37+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676296847515
"=""41676296945819""","=""48176791707""",Manor Way,13,2025-10-13T22:23:10+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676296945819
"=""41676296978587""","=""48176791707""",Manor Way,0,2024-10-25T15:44:54+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676296978587
"=""41676297011355""","=""48176791707""",Manor Way,0,2025-03-28T11:07:35+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676297011355
"=""41676297142427""","=""48176791707""",Manor Way,64,2025-08-07T10:55:25+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676297142427
"=""41676297175195""","=""48176791707""",Manor Way,0,2022-07-01T15:49:11+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676297175195
"=""41676297273499""","=""48176791707""",Manor Way,0,2022-12-12T14:10:45+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676297273499
"=""41676297502875""","=""48176791707""",Manor Way,17,2024-11-16T20:33:51+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676297502875
"=""41676297535643""","=""48176791707""",Manor Way,42,2025-08-27T11:24:23+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676297535643
"=""41676297568411""","=""48176791707""",Manor Way,1,2025-09-04T12:18:17+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676297568411
"=""41676297601179""","=""48176791707""",Manor Way,40,2023-06-27T14:04:40+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676297601179
"=""41676297633947""","=""48176791707""",Manor Way,0,2023-12-05T09:01:45+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676297633947
"=""41676297666715""","=""48176791707""",Manor Way,19,2023-09-04T15:42:21+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676297666715
"=""41676297699483""","=""48176791707""",Manor Way,0,2024-01-04T09:33:40+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676297699483
"=""41676297732251""","=""48176791707""",Manor Way,27,2023-12-04T16:33:46+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676297732251
"=""41676297765019""","=""48176791707""",Manor Way,46,2025-04-07T12:49:27+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676297765019
"=""41676297797787""","=""48176791707""",Manor Way,53,2023-09-04T15:42:20+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676297797787
"=""41676297961627""","=""48176791707""",Manor Way,41,2025-10-20T12:00:57+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676297961627
"=""41676297994395""","=""48176791707""",Manor Way,0,2025-07-11T15:44:16+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676297994395
"=""41676298125467""","=""48176791707""",Manor Way,0,2024-03-19T14:41:49+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676298125467
"=""41676298158235""","=""48176791707""",Manor Way,0,2023-10-18T12:24:41+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676298158235
"=""41676298256539""","=""48176791707""",Manor Way,0,2023-07-07T10:42:10+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676298256539
"=""41676298289307""","=""48176791707""",Manor Way,0,2023-10-11T12:24:05+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676298289307
"=""41676298322075""","=""48176791707""",Manor Way,0,2023-05-11T14:02:01+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676298322075
"=""41676298354843""","=""48176791707""",Manor Way,0,2023-10-20T09:02:14+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676298354843
"=""41676298387611""","=""48176791707""",Manor Way,0,2023-06-27T14:04:21+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676298387611
"=""41676298420379""","=""48176791707""",Manor Way,0,2025-10-15T10:42:55+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676298420379
"=""41676298453147""","=""48176791707""",Manor Way,0,2025-06-04T14:03:27+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676298453147
"=""41676298485915""","=""48176791707""",Manor Way,0,2025-06-04T14:03:26+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676298485915
"=""41676298518683""","=""48176791707""",Manor Way,0,2025-10-15T10:42:56+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676298518683
"=""41676298551451""","=""48176791707""",Manor Way,0,2025-06-04T14:03:26+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676298551451
"=""41676298616987""","=""48176791707""",Manor Way,37,2025-10-12T20:54:07+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676298616987
"=""41676298649755""","=""48176791707""",Manor Way,2,2025-10-29T14:41:46+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676298649755
"=""41676298682523""","=""48176791707""",Manor Way,0,2025-10-29T14:41:47+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676298682523
"=""41676298715291""","=""48176791707""",Manor Way,10,2025-10-21T11:02:25+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676298715291
"=""41676298748059""","=""48176791707""",Manor Way,0,2025-01-24T16:45:07+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676298748059
"=""41676298780827""","=""48176791707""",Manor Way,0,2025-10-29T14:41:47+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676298780827
"=""41676298846363""","=""48176791707""",Manor Way,3,2024-02-18T21:15:51+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676298846363
"=""41676298879131""","=""48176791707""",Manor Way,5,2025-09-22T16:28:27+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676298879131
"=""41676298911899""","=""48176791707""",Manor Way,20,2025-02-19T11:22:02+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676298911899
"=""41676298944667""","=""48176791707""",Manor Way,27,2025-02-19T11:22:05+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676298944667
"=""41676298977435""","=""48176791707""",Manor Way,0,2022-04-27T12:22:48+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676298977435
"=""41676299010203""","=""48176791707""",Manor Way,0,2023-07-17T12:21:36+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676299010203
"=""41676299042971""","=""48176791707""",Manor Way,3,2025-10-17T14:02:06+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676299042971
"=""41676299075739""","=""48176791707""",Manor Way,7,2025-10-17T14:02:06+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676299075739
"=""41676299468955""","=""48176791707""",Manor Way,0,2022-03-12T11:03:18+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676299468955
"=""41676299501723""","=""48176791707""",Manor Way,0,2022-07-29T17:26:11+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676299501723
"=""41676299534491""","=""48176791707""",Manor Way,0,2021-11-05T08:12:40+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676299534491
"=""41676299665563""","=""48176791707""",Manor Way,0,2023-05-26T15:41:35+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676299665563
"=""41676299698331""","=""48176791707""",Manor Way,0,2023-05-26T15:41:40+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676299698331
"=""41676299731099""","=""48176791707""",Manor Way,0,2023-05-26T15:41:40+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676299731099
"=""41676299763867""","=""48176791707""",Manor Way,0,2023-05-26T15:41:35+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676299763867
"=""41676300484763""","=""48176791707""",Manor Way,1,2025-01-03T16:23:05+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676300484763
"=""41676300517531""","=""48176791707""",Manor Way,0,2025-06-26T17:23:56+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676300517531
"=""41676300550299""","=""48176791707""",Manor Way,2,2024-06-28T16:21:55+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676300550299
"=""41676300845211""","=""48176791707""",Manor Way,0,2023-07-25T09:02:41+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676300845211
"=""41676300877979""","=""48176791707""",Manor Way,0,2025-10-10T15:42:21+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676300877979
"=""41676300910747""","=""48176791707""",Manor Way,0,2025-10-15T12:23:31+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676300910747
"=""41676301303963""","=""48176791707""",Manor Way,1,2023-08-31T09:02:26+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676301303963
"=""41676301336731""","=""48176791707""",Manor Way,3,2023-05-17T10:42:35+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676301336731
"=""41676301369499""","=""48176791707""",Manor Way,0,2021-09-07T12:27:55+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676301369499
"=""41676301402267""","=""48176791707""",Manor Way,0,2021-09-07T12:27:55+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676301402267
"=""41676301566107""","=""48176791707""",Manor Way,0,2024-02-16T09:41:48+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676301566107
"=""41676301598875""","=""48176791707""",Manor Way,0,2022-09-30T10:21:41+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676301598875
"=""41676302811291""","=""48176791707""",Manor Way,0,2024-08-08T16:52:02+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676302811291
"=""41676302844059""","=""48176791707""",Manor Way,0,2022-02-28T13:01:51+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676302844059
"=""41676302876827""","=""48176791707""",Manor Way,0,2023-10-20T14:01:50+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676302876827
"=""41676303204507""","=""48176791707""",Manor Way,0,2021-09-07T12:27:33+01:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676303204507
"=""41676303237275""","=""48176791707""",Manor Way,0,2021-12-15T12:03:00+00:00,gid://shopify/InventoryLevel/82334253211?inventory_item_id=41676303237275
